Reference,Left,KWIC,Right
"PA332523,2017-07-18,Dalloz, Marie-Christine",", mais en excluant ce facteur, le dépassement serait de 1,6 milliard d'' euros. Par ailleurs, les économies n'' ont",pas été respectées,", alors même qu'' elles avaient été revues à la baisse. Enfin, la dette est démesurée. Avec 69 milliards d'' euros de"
"PA719480,2017-07-18,Gaillard, Olivier","qualifiés de prioritaires, essentiels à la sécurité de toutes et de tous, ainsi qu'' à la cohésion sociale. Notre",responsabilité est fortement engagée,"dans ces domaines. Par ailleurs, l'' on constate objectivement que s'' expriment de forts besoins tant d'' économies que"
"PA2150,2017-07-18,Mélenchon, Jean-Luc","plan économique. Le budget de l'' État , c'' est plus qu'' une comptabilité : c'' est le premier acteur économique du pays. La",dépense est mal engagée,", comme vous l'' avez démontré vous-même en considérant que l'' on dépense beaucoup sans résultats effectifs. Eh bien, c''"
"PA607846,2017-07-18,Darmanin, Gérald",", c'' est que la loi de finances initiale de 2017, le budget qui a été voté par le Parlement , sur lequel le Gouvernement s",'' est engagé,"et que la majorité a voté, a prévu 7 milliards de dépenses publiques de plus par rapport à 2016 ; et qu'' en 2017, il y a 7"
"PA267336,2017-07-18,Giraud, Joël","sociale pour 2007 – c'' est son droit et sa légitimité. Enfin, nous avons décidé collectivement – et le Gouvernement s''",y est engagé,– de conduire une réflexion plus globale sur la procédure et la gouvernance budgétaires. Nous pourrons rediscuter de
"PA607846,2017-07-18,Darmanin, Gérald","arrêter un vrai mode d'' emploi. Je réponds oui à M. Pupponi : nous aurons un débat parlementaire, et le Gouvernement s",'' est engagé,"dans un pacte de confiance avec les collectivités locales. Nous sommes dans le nouveau monde, comme dirait l'' autre, où"
"PA720846,2017-07-18,Lachaud, Bastien","on pense le contraire. Nous souhaitons donc que soit mise en place une commission parlementaire, dans laquelle chaque",groupe soit représenté,et qui agisse en coordination avec le Sénat . Elle comprendrait des économistes appartenant à différentes écoles de
"PA609520,2017-07-18,Pompili, Barbara","sont complétés, modifiés ou créés. Je tiens ici à saluer le travail mené par notre rapporteur, Jean-Marc Zulesi , qui s",'' est engagé,"dans l'' étude de ces dispositifs complexes, parfois arides. Son travail en tant que rapporteur, puis au sein de la"
"PA722236,2017-07-18,Djebbari, Jean-Baptiste",doivent permettent d'' améliorer la qualité de la décision publique et sa légitimité démocratique. Les décisions qui,en sont issues doivent être respectées,". Pour finir, j'' emprunterai cette phrase à Grégoire Lacroix : "" Élever très haut le débat "", et, j'' ajoute ici, le rendre"
"PA722236,2017-07-18,Djebbari, Jean-Baptiste",d'' améliorer la qualité de la décision publique et sa légitimité démocratique. Les décisions qui en sont issues,doivent être respectées,". Pour finir, j'' emprunterai cette phrase à Grégoire Lacroix : "" Élever très haut le débat "", et, j'' ajoute ici, le rendre"
"PA267204,2017-07-18,Sermier, Jean-Marie","allons discuter de l'' opportunité de dispositifs déjà mis en place depuis longtemps. Par exemple, les garants de la",CNDP sont en partie recrutés,"et même formés. Il n'' est donc plus sérieusement envisageable de renoncer à eux maintenant que tout est lancé. Enfin,"
"PA721976,2017-07-18,Millienne, Bruno","préalable et du droit d'' initiative mis en place en amont des décisions, et non plus a posteriori, une fois que les",choses sont engagées,", comme c'' était le cas jusqu'' alors. La participation du public aux décisions ayant une incidence sur l'' environnement"
