"corpus","preloaded/ske_parlamint21_fr"
"subcorpus","-"
"concordance size","1193"
"query","Query:[lemma=""se""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""je""] []{0,3} [lemma=""me""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""tu""] []{0,3} [lemma=""te""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""vous""] [tag!=""Fc""]{0,3} [lemma=""vous""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""nous""] [tag!=""Fc""]{0,3} [lemma=""nous""] [lemma=""faire""] []{0,3} [tag=""V.N.*""]"
"Reference","Left","KWIC","Right"
"PA721062,2017-11-09","gouvernement en gouvernement, de président en président, y tourne a nou toujour carrysou de riz – on finit toujours par","se faire avoir",". D '' année en année, depuis plus d'' un demi-siècle, nous battons des records en matière d'' inégalités. Dois - je vous"
"PA333421,2017-11-09",", faisons attention au signal envoyé. Nous y reviendrons lors de l'' examen des amendements. Enfin, pour ceux qui","se font rouler","par Bercy expliquant que les moyens manquent, je rappelle que le crédit carbone rapporte aujourd''hui 8 milliards et"
"PA719632,2017-11-09","du pavillon français, de nos marins et des acteurs maritimes de notre pays. Ses premiers effets sont positifs ; ils","se font déjà sentir",". L'' esprit de cette loi est de valoriser durablement notre potentiel maritime et de construire une véritable"
"PA605131,2017-11-10","Républicains présents ce matin ? On vous interrompra si on en a l'' intention ! Vous n'' êtes que deux mais, manifestement,","vous souhaitez vous faire entendre","sur ce sujet de petite polémique politicienne bien inutile. Pour la sérénité de nos débats, je vous demande, mes chers"
"PA719488,2017-11-10","de champions français identifiés par les classements et, du coup, attractifs à l'' international, cela ne pourra","se faire sans les doter","de capacités similaires à leurs compétiteurs, comme la sélection des étudiants, ni sans mener une réflexion sur le"
"PA605069,2017-11-13","dès l'' été. Vous avez lourdement confirmé vos décisions à l'' automne, et les conséquences de vos choix ne tarderont pas à","se faire sentir","pour nos concitoyens les plus fragiles. Finalement, un mot caractérise ce texte : l'' injustice. Cette injustice"
"PA719608,2017-11-13","était autre que la directrice de cabinet de Jérôme Cahuzac , ministre délégué au budget qui, décidément, n'' arrive pas à","se faire oublier",". Eh oui ! Mais il n'' est pas question de s'' arrêter aux lampistes – si j'' ose dire, bien qu'' il s'' agisse, en l'' occurrence, de"
"PA608016,2017-11-13","J '' ai voulu en particulier, au travers de ces deux derniers thèmes, appeler l'' attention sur les importants besoins qui","se font sentir","en matière de prévention. En ce qui concerne le programme 183, les crédits demandés s'' élèvent à 932 millions d'' euros."
"PA717153,2017-11-13","pour certaines maladies transmissibles, surreprésentées au sein de la population concernée par le dispositif,","nous pensons que nous faisons courir","un risque sanitaire à l'' ensemble de la population. Le rendement attendu sur le droit de timbre s'' avère très faible ; il"
"PA335054,2017-11-14","deviennent peu à peu des administrés qui doivent se battre pour continuer à vivre. Alors même que l'' indemnisation","se fait attendre",", trouver un logement ou reprendre une vie professionnelle sont autant de gageures. Alors que, jusqu'' en juin 2017, un"
"PA335054,2017-11-14","deviennent peu à peu des administrés qui doivent se battre pour continuer à vivre. Alors même que l'' indemnisation","se fait attendre, trouver","un logement ou reprendre une vie professionnelle sont autant de gageures. Alors que, jusqu'' en juin 2017, un"
"PA720754,2017-11-14","ce que la culture, sinon la nuance par rapport à la vie ? Là, madame la ministre, vous donnez de nouvelles possibilités de","se faire entendre","à tous les artistes français, aux plus jeunes, aux plus dynamiques. À titre personnel, je soutiens bien entendu cet"
